id;name;description;id_type;goal_amount;collected;rating;creation_date;last_updated;coord_x;coord_y;fee;number;currency_type;status
1;Generic complexity;payment feed;PROFITABLE;71929;78544;40650;2020-11-02T03:27:46;2020-11-02T18:11:11;62452;23613;55777;Route;CRC;false
2;Small Fresh Sausages deposit a;Checking Account synthesizing;PROFITABLE;37547;17165;81620;2020-11-02T07:31:32;2020-11-02T04:56:19;25994;81962;49611;reboot Causeway;USD;true
3;array portal Pizza;Ergonomic Enterprise-wide;PROFITABLE;65048;97929;19596;2020-11-02T06:03:00;2020-11-02T14:44:20;10080;23057;60861;connect Tools;CRC;true
4;compressing Books;Checking Account Business-focused;PROFITABLE;16383;12427;65205;2020-11-02T02:32:09;2020-11-03T00:20:11;22522;32545;93091;grey hack Markets;CRC;false
5;Missouri;Mississippi;PROFITABLE;88045;73835;88186;2020-11-02T10:42:13;2020-11-02T19:26:51;65991;87405;22074;matrix Bedfordshire;CRC;true
6;partnerships bluetooth;navigate Louisiana;NONPROFIT;49633;12236;64873;2020-11-02T01:37:33;2020-11-02T13:02:30;78443;98602;96432;Product Avon Belarus;CRC;true
7;Handcrafted Metal Gloves drive;Ergonomic Granite Pants Morocco;PROFITABLE;90614;84557;33191;2020-11-02T02:16:28;2020-11-02T06:41:38;99848;88322;12027;enterprise;CRC;false
8;Auto Loan Account XML;HDD Enhanced;PROFITABLE;63015;88726;16643;2020-11-02T17:49:58;2020-11-02T23:48:33;11709;4820;83055;zero defect;CRC;false
9;Berkshire Jewelery;Licensed Metal Hat aggregate Implementation;NONPROFIT;64637;89084;41738;2020-11-02T09:54:33;2020-11-02T09:03:22;62976;4361;38929;XSS Michigan;USD;false
10;Devolved hacking USB;matrix;NONPROFIT;62197;93459;79325;2020-11-02T20:37:19;2020-11-02T04:33:46;76220;67333;84735;Soft deposit;CRC;false
